Date of Issue,Period End,Scrip,Bonus Share,Dividend
19/05/2022,31/12/2021,AVN,5,0
14/06/2023,31/12/2022,AVN,7,0
27/04/2022,31/12/2022,SYS,5,0
14/06/2023,31/12/2022,OCTOPUS,5,0
16/11/2022,30/06/2022,TELE,43,0
22/02/2022,30/06/2022,POL,0,70
22/04/2022,31/12/2021,SYS,0,16
18/05/2022,30/03/2022,AVN,0,9
30/08/2022,30/06/2022,EPCL,0,44
06/09/2022,30/06/2022,ENGRO,0,77
02/11/2022,31/12/2022,EPCL,0,44
18/10/2022,30/06/2022,HUBC,0,3877
07/11/2022,30/06/2022,ENGRO,0,140
23/05/2023,31/12/2022,SYS,0,133
10/05/2023,31/03/2023,ENGRO,0,420
18/05/2023,31/03/2023,HUBC,0,626
05/05/2023,31/03/2023,EPCL,0,31
03/05/2023,31/12/2022,EPCL,0,68
04/04/2023,31/12/2022,ENGRO,0,6
22/03/2023,31/12/2022,POL,0,140
22/03/2023,31/12/2022,HUBC,0,1466
13/05/2024,31/12/2023,AVN,10,0
